epoch,accuracy,val_accuracy,loss,val_loss
1,0.2899305522441864,0.5763888955116272,1.8029531240463257,1.405356764793396
2,0.5434027910232544,0.7291666865348816,1.432587742805481,1.135735034942627
3,0.6631944179534912,0.7638888955116272,1.1856238842010498,0.9567952752113342
4,0.7395833134651184,0.7708333134651184,1.0115747451782227,0.8320137858390808
5,0.7795138955116272,0.8194444179534912,0.9034249186515808,0.745878279209137
6,0.78125,0.8125,0.8040274977684021,0.6897023320198059
7,0.7934027910232544,0.8402777910232544,0.7510502338409424,0.6373640894889832
8,0.8229166865348816,0.8194444179534912,0.682588517665863,0.600053071975708
9,0.8333333134651184,0.8333333134651184,0.619161069393158,0.5665870904922485
10,0.8368055820465088,0.8333333134651184,0.5999440550804138,0.5478417873382568
11,0.8472222089767456,0.8402777910232544,0.5612099766731262,0.5365909934043884
12,0.859375,0.8402777910232544,0.5309979319572449,0.5105023384094238
13,0.8611111044883728,0.8472222089767456,0.49034324288368225,0.49859142303466797
14,0.8611111044883728,0.8402777910232544,0.4726492464542389,0.47729551792144775
15,0.8732638955116272,0.8472222089767456,0.4744647741317749,0.4682396352291107
16,0.8680555820465088,0.8541666865348816,0.4576244354248047,0.4662459194660187
17,0.8802083134651184,0.8541666865348816,0.4091959297657013,0.44903790950775146
18,0.8767361044883728,0.8472222089767456,0.43112698197364807,0.45907047390937805
19,0.8993055820465088,0.8541666865348816,0.38973453640937805,0.4398118257522583
20,0.8854166865348816,0.8472222089767456,0.4055787920951843,0.45213571190834045
21,0.890625,0.8472222089767456,0.3995321989059448,0.44577693939208984
22,0.8940972089767456,0.8472222089767456,0.35500210523605347,0.4473499059677124
23,0.890625,0.8472222089767456,0.344397634267807,0.43130871653556824
24,0.9010416865348816,0.8541666865348816,0.360270619392395,0.4278658628463745
25,0.9201388955116272,0.8472222089767456,0.3214067220687866,0.42494890093803406
26,0.8975694179534912,0.8541666865348816,0.3177538216114044,0.41472259163856506
27,0.9166666865348816,0.8541666865348816,0.3172174394130707,0.42127344012260437
28,0.9166666865348816,0.8611111044883728,0.29838457703590393,0.4008485674858093
29,0.9010416865348816,0.8611111044883728,0.30789607763290405,0.40538620948791504
30,0.9131944179534912,0.8541666865348816,0.29159703850746155,0.406408429145813
31,0.9184027910232544,0.8611111044883728,0.264564573764801,0.3942052721977234
32,0.9201388955116272,0.8541666865348816,0.26356926560401917,0.3996613025665283
33,0.9131944179534912,0.8611111044883728,0.2853137254714966,0.3923685550689697
34,0.9288194179534912,0.8611111044883728,0.2597253620624542,0.41169410943984985
35,0.9166666865348816,0.8611111044883728,0.2738719582557678,0.3918064832687378
36,0.9270833134651184,0.8611111044883728,0.2560592293739319,0.3974061906337738
37,0.9392361044883728,0.8611111044883728,0.21983440220355988,0.3864206373691559
38,0.9270833134651184,0.8611111044883728,0.2598189115524292,0.4016936123371124
39,0.9461805820465088,0.8611111044883728,0.2216268926858902,0.39200666546821594
40,0.9357638955116272,0.8611111044883728,0.22599728405475616,0.381034255027771
41,0.9305555820465088,0.8611111044883728,0.22676481306552887,0.3972429037094116
42,0.9427083134651184,0.875,0.2307252585887909,0.39113345742225647
43,0.9479166865348816,0.875,0.21745823323726654,0.38079583644866943
44,0.9461805820465088,0.875,0.20513851940631866,0.39711639285087585
45,0.9392361044883728,0.8680555820465088,0.21249710023403168,0.3936529755592346
